0 0
1 0.0080279
2 0.039555
3 0.059803
4 0.065916
5 0.062951
6 0.054543
7 0.043723
8 0.032903
9 0.023696
10 0.016887
11 0.012576
12 0.010432
13 0.0098889
14 0.010336
15 0.01119
16 0.012026
17 0.012541
18 0.01264
19 0.012385
20 0.011996
21 0.011748
22 0.011945
23 0.012759
24 0.014232
25 0.016229
26 0.018429
27 0.020534
28 0.022235
29 0.023305
30 0.023664
31 0.023316
32 0.02228
33 0.020664
34 0.018554
35 0.016107
36 0.013464
37 0.010817
38 0.0083525
39 0.0062323
40 0.0045877
41 0.003464
42 0.0028627
43 0.0026839
44 0.002845
45 0.0031622
46 0.0033994
47 0.0032586
48 0.0021338
49 -0.00076508
