0 0.00027897
1 -0.11675
2 -0.25791
3 -0.30131
4 -0.28896
5 -0.25148
6 -0.20793
7 -0.16783
8 -0.13454
9 -0.10809
10 -0.086864
11 -0.068614
12 -0.051003
13 -0.032003
14 -0.010131
15 0.015452
16 0.044975
17 0.078153
18 0.1143
19 0.15236
20 0.19088
21 0.22794
22 0.26117
23 0.28799
24 0.30602
25 0.31369
26 0.31073
27 0.29824
28 0.27838
29 0.25376
30 0.22686
31 0.19971
32 0.17374
33 0.14985
34 0.12855
35 0.11002
36 0.094275
37 0.081116
38 0.0702
39 0.060998
40 0.0528
41 0.044738
42 0.03588
43 0.025379
44 0.012666
45 -0.002301
46 -0.018706
47 -0.034366
48 -0.04486
49 -0.042186
