5.00007  8.2763 11.3971  14.298 16.9775 19.4688 21.8188 24.0761 26.2828  28.471 30.6615 32.8651 35.0842 37.3154 39.5518 41.7856 44.0096 46.2188 48.4114 50.5886 52.7546 54.9163 57.0821  59.261 61.4618 63.6919 65.9567 68.2589 70.5984 72.9721 75.3745 77.7978 80.2334  82.672 85.1051 87.5255 89.9282 92.3111 94.6743 97.0206 99.3543 101.681 104.004 106.326 108.647 110.962 113.266 115.552 117.822 120.094
      5 8.32073 11.6938 15.1357 18.6392 22.1849 25.7497 29.3114 32.8513 36.3555 39.8145 43.2226 46.5765 49.8745 53.1153 56.2969 59.4161 62.4686 65.4481 68.3476  71.159 73.8742 76.4856 78.9867 81.3732 83.6428 85.7963 87.8374 89.7725 91.6111 93.3647 95.0464 96.6703 98.2503 99.7994 101.329 102.847 104.359 105.866 107.366  108.85 110.307 111.722 113.075 114.342 115.496 116.503 117.322 117.899 118.162
5.00028 8.34229 11.8371 15.5409 19.4436 23.5002 27.6521 31.8411 36.0169 40.1412  44.188 48.1426 51.9988 55.7567 59.4195  62.991 66.4737 69.8677 73.1695 76.3724 79.4666 82.4401   85.28 87.9731 90.5081 92.8758 95.0705 97.0906 98.9385 100.621 102.148 103.535 104.795 105.946 107.005 107.988 108.908 109.778 110.607 111.403 112.173 112.922 113.658  114.39 115.129 115.887 116.674 117.492 118.324 119.118
5.00001 8.36743 12.0077  16.024 20.4025 25.0662 29.9134 34.8413 39.7601 44.6002 49.3137 53.8722 58.2637 62.4877 66.5503 70.4604 74.2262 77.8528 81.3407 84.6856 87.8789 90.9087 93.7615  96.424 98.8847 101.136 103.174 105.002 106.628 108.066 109.333 110.452 111.444 112.332 113.137 113.875 114.558 115.192  115.78 116.317 116.799  117.22 117.578 117.876 118.121  118.33 118.519   118.7  118.86 118.942
 4.9997 8.37889  12.082 16.2265 20.7901 25.6784 30.7712 35.9506 41.1174 46.1978 51.1441 55.9313 60.5518 65.0092 69.3124 73.4706 77.4895 81.3691  85.103 88.6778  92.076 95.2766 98.2586 101.003 103.497 105.732 107.709 109.437 110.934 112.223 113.333 114.296 115.144 115.905 116.601 117.248  117.85 118.405 118.902 119.323 119.652 119.872 119.976  119.97 119.874 119.722 119.555  119.41 119.288 119.114
4.99979 8.38193 12.1005 16.2711 20.8624 25.7703 30.8675 36.0335 41.1713 46.2129 51.1193 55.8752 60.4829 64.9542 69.3044 73.5458 77.6848 81.7184 85.6349 89.4138 93.0285  96.449 99.6451  102.59 105.263 107.651 109.753 111.578 113.144 114.479 115.616 116.591 117.441 118.199 118.888 119.526 120.115 120.649 121.113 121.482 121.733 121.843 121.802 121.614   121.3 120.901 120.466 120.038 119.616 119.113
 5.0001 8.37885 12.0772 16.2006 20.7131 25.5112 30.4716 35.4808   40.45 45.3208 50.0634 54.6715 59.1551 63.5325 67.8234 72.0434 76.1998 80.2891 84.2975 88.2009 91.9682 95.5639 98.9519 102.099 104.979 107.573 109.875 111.888 113.628 115.118 116.392 117.484 118.431 119.265 120.013  120.69 121.304 121.849 122.309 122.663 122.885 122.953 122.856 122.594 122.188 121.673 121.095 120.493 119.862 119.112
4.99992 8.37255 12.0341 16.0764  20.463 25.0968  29.865 34.6654 39.4202 44.0806 48.6249 53.0531 57.3796 61.6261 65.8145 69.9616 74.0753 78.1522 82.1779 86.1276 89.9688  93.664 97.1749 100.465 103.505 106.272 108.754 110.952 112.875 114.543 115.983 117.227 118.309 119.259 120.103 120.859 121.532 122.122 122.615 122.993 123.234 123.318 123.232 122.977 122.567 122.034 121.415 120.742 120.007 119.121
4.99948 8.36398  11.979 15.9237 20.1658 24.6213 29.1924  33.791 38.3507   42.83 47.2115 51.4965  55.699  59.839 63.9367 68.0072 72.0577 76.0851 80.0758 84.0068 87.8477 91.5634  95.117 98.4735 101.603 104.481 107.094 109.437 111.516 113.344 114.942 116.338 117.558  118.63 119.577 120.416 121.156 121.797 122.333 122.749 123.029 123.157 123.122 122.923 122.571 122.087 121.498 120.827 120.062 119.123
5.00023 8.35577 11.9255 15.7794 19.8925 24.1943 28.6019   33.04  37.451 41.7982 46.0654 50.2523 54.3696 58.4337 62.4611 66.4645 70.4497  74.414 78.3458  82.225 86.0249 89.7145 93.2607 96.6313 99.7976 102.737 105.433 107.878 110.074 112.028 113.756 115.278 116.617 117.794 118.831 119.744 120.543 121.231 121.806  122.26 122.581  122.76 122.786 122.658 122.382 121.972 121.445 120.812  120.06  119.12
