5.03338 130.05 30.0218
8.34282 130.05 30.0592
11.6503 130.044 30.2771
14.9465 130.022 30.7572
18.2181 129.972 31.5126
21.4507 129.881 32.5191
24.6312 129.74 33.7358
27.749 129.541 35.1187
30.7976 129.281 36.6278
33.7744 128.956 38.2309
36.6812 128.565 39.9037
39.5235 128.107 41.6283
42.3101 127.581 43.3915
45.0525 126.984 45.1815
47.7636 126.312 46.986
50.4572 125.562 48.79
53.1469 124.727 50.5744
55.8454 123.798 52.3156
58.5634 122.768 53.9852
61.3094 121.625 55.5511
64.089 120.361 56.9784
66.9043 118.967 58.2312
69.7542 117.434 59.2745
72.6339 115.756 60.0758
75.5355 113.927 60.6074
78.448 111.947 60.8475
81.3576 109.815 60.7813
84.2487 107.535 60.4025
87.1042 105.113 59.7128
89.906 102.558 58.722
92.636 99.8814 57.4471
95.2768 97.0963 55.9112
97.8121 94.2168 54.142
100.227 91.2578 52.1699
102.51 88.2339 50.026
104.651 85.1592 47.7405
106.643 82.0459 45.341
108.482 78.9044 42.8508
110.167 75.7421 40.2888
111.697 72.564 37.6689
113.076 69.3718 35.0006
114.307 66.1644 32.2902
115.394 62.9384 29.5423
116.341 59.6884 26.762
117.15 56.4087 23.9573
117.824 53.0935 21.1402
118.361 49.739 18.3277
118.76 46.3442 15.5402
119.016 42.9128 12.7971
119.128 39.4538 10.1079
