5.03339 130.05 30.0219
8.34282 130.05 30.0592
11.6502 130.044 30.2772
14.9464 130.022 30.7575
18.218 129.972 31.5133
21.4506 129.881 32.5201
24.631 129.74 33.737
27.7489 129.541 35.12
30.7975 129.281 36.6292
33.7743 128.956 38.2323
36.6811 128.565 39.905
39.5235 128.107 41.6295
42.3102 127.581 43.3924
45.0526 126.984 45.1822
47.7637 126.312 46.9865
50.4573 125.562 48.7903
53.1469 124.727 50.5746
55.8453 123.798 52.3157
58.5632 122.767 53.9853
61.3092 121.625 55.5512
64.0886 120.361 56.9786
66.9038 118.967 58.2315
69.7535 117.434 59.2749
72.6332 115.756 60.0763
75.5347 113.927 60.608
78.4472 111.947 60.848
81.3568 109.815 60.7819
84.248 107.535 60.4031
87.1036 105.113 59.7133
89.9055 102.558 58.7224
92.6358 99.8812 57.4474
95.2768 97.0958 55.9115
97.8123 94.2161 54.1423
100.228 91.2567 52.1702
102.511 88.2326 50.0264
104.652 85.1575 47.741
106.644 82.0439 45.3415
108.483 78.9021 42.8515
110.168 75.7396 40.2897
111.698 72.5613 37.67
113.077 69.3689 35.0019
114.308 66.1615 32.2915
115.395 62.9354 29.5435
116.341 59.6855 26.7631
117.151 56.4059 23.9582
117.825 53.0909 21.1408
118.362 49.7365 18.328
118.76 46.3419 15.5403
119.016 42.9107 12.797
119.128 39.4519 10.1077
