0 0
1 0.025152
2 0.13656
3 0.3009
4 0.38826
5 0.34347
6 0.19809
7 0.017177
8 -0.14155
9 -0.24356
10 -0.2779
11 -0.25163
12 -0.18269
13 -0.093542
14 -0.005713
15 0.064043
16 0.10682
17 0.12285
18 0.12126
19 0.11824
20 0.134
21 0.1882
22 0.29499
23 0.45825
24 0.66873
25 0.9041
26 1.1331
27 1.3223
28 1.4437
29 1.4798
30 1.4258
31 1.2897
32 1.0885
33 0.84608
34 0.58895
35 0.34345
36 0.13271
37 -0.025584
38 -0.12106
39 -0.15184
40 -0.12506
41 -0.056518
42 0.030903
43 0.10988
44 0.15325
45 0.13999
46 0.062317
47 -0.063673
48 -0.19581
49 -0.25073
